task_id,label,confidence,timestamp
e8f333ca,Clase_20,1.0,2026-03-12T16:46:37.951549
7a7c2d0b,Clase_57,1.0,2026-03-12T16:46:38.958321
d0cfbda4,Clase_70,1.0,2026-03-12T16:46:42.980930
b4928c0b,Clase_28,1.0,2026-03-12T16:46:46.994551
196f8e64,Clase_36,1.0,2026-03-12T16:46:47.979624
32bf6971,Clase_17,1.0,2026-03-12T16:46:48.994274
f67922ee,Clase_36,1.0,2026-03-12T16:46:53.010841
af42d548,Clase_47,1.0,2026-03-12T16:46:54.009908
cab1cc10,Clase_62,0.8343,2026-03-12T16:46:56.031597
6f43962b,Clase_62,1.0,2026-03-12T16:46:59.044477
6160ad02,Clase_17,1.0,2026-03-12T16:47:03.124769
ffc26a03,Clase_24,1.0,2026-03-12T16:47:04.039352
1a574718,Clase_70,1.0,2026-03-12T16:47:07.049063
97cbfb46,Clase_53,1.0,2026-03-12T16:47:08.072471
de829f09,Clase_60,1.0,2026-03-12T16:47:13.035744
4b6c768f,Clase_11,1.0,2026-03-12T16:47:17.050703
d9de324a,Clase_20,1.0,2026-03-12T16:47:18.048362
a4d99c71,Clase_35,1.0,2026-03-12T16:47:20.037474
c02751e9,Clase_41,1.0,2026-03-12T16:47:22.062663
8bcdda04,Clase_35,1.0,2026-03-12T16:47:26.118923
78032c79,Clase_35,1.0,2026-03-12T16:47:28.068551
941b356f,Clase_23,1.0,2026-03-12T16:47:29.050827
529e47ec,Clase_61,0.9516,2026-03-12T16:47:34.061552
929a3991,Clase_17,1.0,2026-03-12T16:47:38.075940
05f04211,Clase_5,1.0,2026-03-12T16:47:39.115373
a899eb94,Clase_61,1.0,2026-03-12T16:47:42.100967
534db892,Clase_83,1.0,2026-03-12T16:47:44.092150
aa4d1e4a,Clase_20,1.0,2026-03-12T16:47:47.130369
b23310e6,Clase_2,1.0,2026-03-12T16:47:48.123286
1befd545,Clase_71,0.8877,2026-03-12T16:47:50.216067
32f36eed,Clase_49,1.0,2026-03-12T16:47:51.221637
5b747ce8,Clase_70,1.0,2026-03-12T16:47:53.127612
d135c0da,Clase_2,0.9997,2026-03-12T16:47:54.128728
a5c35e1f,Clase_35,1.0,2026-03-12T16:47:56.173169
6200ee29,Clase_23,1.0,2026-03-12T16:48:03.153830
9425032a,Clase_41,1.0,2026-03-12T16:48:05.167826
c38e27bf,Clase_61,1.0,2026-03-12T16:48:06.126465
1239049e,Clase_28,0.9997,2026-03-12T16:48:10.172586
eba75c7f,Clase_62,1.0,2026-03-12T16:48:11.134462
d4a54bf5,Clase_69,1.0,2026-03-12T16:48:12.141534
bb831217,Clase_23,1.0,2026-03-12T16:48:15.232014
f012f8ed,Clase_53,1.0,2026-03-12T16:48:16.146472
3853111c,Clase_5,1.0,2026-03-12T16:48:19.163418
aa21cc90,Clase_61,1.0,2026-03-12T16:48:20.167114
5d5c0e5a,Clase_61,1.0,2026-03-12T16:48:21.172183
3ea6a40e,Clase_69,1.0,2026-03-12T16:48:22.212481
cd470e9e,Clase_28,1.0,2026-03-12T16:48:27.239928
4b8abe38,Clase_54,0.9971,2026-03-12T16:48:29.161123
12215f49,Clase_57,1.0,2026-03-12T16:48:31.189254
1c9efcf7,Clase_5,1.0,2026-03-12T16:48:32.170596
49185969,Clase_20,1.0,2026-03-12T16:48:33.209617
