task_id,label,confidence,timestamp
eb04e7a8,Clase_99,0.7242,2026-03-13T11:36:58.168445
4f3c3e02,Clase_99,0.7225,2026-03-13T11:36:59.977482
b286959d,Clase_99,0.7263,2026-03-13T11:37:02.780032
bbf93899,Clase_99,0.7176,2026-03-13T11:37:04.877095
a4e3cb22,Clase_99,0.7285,2026-03-13T11:37:10.550998
2461a301,Clase_99,0.7236,2026-03-13T11:37:11.959467
4645c7b2,Clase_99,0.7227,2026-03-13T11:37:12.977482
e82304dc,Clase_99,0.7239,2026-03-13T11:37:13.514986
e64707bc,Clase_99,0.7241,2026-03-13T11:37:13.969734
153b7744,Clase_99,0.7226,2026-03-13T11:37:14.411893
2ac8a60e,Clase_99,0.7207,2026-03-13T11:37:15.793965
e9b21ce6,Clase_99,0.7239,2026-03-13T11:37:18.834157
3eb85940,Clase_99,0.7213,2026-03-13T11:37:21.200005
df50a0ee,Clase_99,0.7269,2026-03-13T11:37:25.873746
845d21e0,Clase_99,0.7262,2026-03-13T11:37:26.830246
a03ccb31,Clase_99,0.7223,2026-03-13T11:37:28.659771
3e7e378a,Clase_99,0.7214,2026-03-13T11:37:32.400593
3f7d331e,Clase_99,0.722,2026-03-13T11:37:34.577413
6c45cf7b,Clase_99,0.7231,2026-03-13T11:37:35.375861
0721316a,Clase_99,0.7249,2026-03-13T11:37:36.229192
9fab1683,Clase_99,0.7233,2026-03-13T11:37:39.258576
8241d205,Clase_99,0.7235,2026-03-13T11:37:41.069658
05c17af2,Clase_99,0.7225,2026-03-13T11:37:42.788033
d1e486e9,Clase_99,0.723,2026-03-13T11:37:43.521440
f1bf5c4f,Clase_99,0.7215,2026-03-13T11:37:45.591913
65a3ba0b,Clase_99,0.724,2026-03-13T11:37:48.023248
62cd7fbd,Clase_99,0.7254,2026-03-13T11:37:49.561510
b91c02ae,Clase_99,0.7202,2026-03-13T11:37:50.833774
9c6d8149,Clase_99,0.7272,2026-03-13T11:37:52.016910
04448b5b,Clase_99,0.7254,2026-03-13T11:37:55.195427
8a4e5a67,Clase_99,0.7246,2026-03-13T11:38:00.314729
70a548ba,Clase_99,0.7245,2026-03-13T11:38:04.358848
b156998f,Clase_99,0.7257,2026-03-13T11:38:07.201095
5dcc261a,Clase_99,0.7215,2026-03-13T11:38:08.864671
e79acfff,Clase_99,0.7233,2026-03-13T11:38:10.037576
b59ef68e,Clase_99,0.723,2026-03-13T11:38:12.761569
0ebb1867,Clase_99,0.7223,2026-03-13T11:38:19.081519
68a357b9,Clase_99,0.7255,2026-03-13T11:38:19.529460
765714d1,Clase_99,0.727,2026-03-13T11:38:20.577448
f46e4dc4,Clase_99,0.7229,2026-03-13T11:38:22.880822
24304960,Clase_99,0.7252,2026-03-13T11:38:25.175829
9e3667ec,Clase_99,0.7264,2026-03-13T11:38:28.978801
3892bf43,Clase_99,0.7264,2026-03-13T11:38:30.413476
7aa830af,Clase_99,0.728,2026-03-13T11:38:31.257752
95cbc53d,Clase_99,0.7251,2026-03-13T11:38:32.506599
e5c86996,Clase_99,0.7242,2026-03-13T11:38:34.157415
813d66ed,Clase_99,0.7233,2026-03-13T11:38:35.059791
12647bf9,Clase_99,0.7255,2026-03-13T11:38:37.546341
8ec8c2af,Clase_99,0.7257,2026-03-13T11:38:39.869219
aec97261,Clase_99,0.7244,2026-03-13T11:38:44.874816
4a07aa3c,Clase_99,0.724,2026-03-13T11:38:47.731011
6e01f3da,Clase_99,0.7243,2026-03-13T11:38:50.756820
e53e263c,Clase_99,0.724,2026-03-13T11:38:51.619793
643fa9b9,Clase_99,0.7245,2026-03-13T11:38:52.182370
19eaec5a,Clase_99,0.7271,2026-03-13T11:38:55.841630
c1c9fb19,Clase_99,0.7271,2026-03-13T11:38:57.009818
6eb1d65d,Clase_99,0.7267,2026-03-13T11:38:58.569887
d61a71d5,Clase_99,0.716,2026-03-13T11:38:59.625432
377414e2,Clase_99,0.7235,2026-03-13T11:39:01.051614
a4f22b41,Clase_99,0.7212,2026-03-13T11:39:02.627001
8dad219a,Clase_99,0.7248,2026-03-13T11:39:03.590502
8572f018,Clase_99,0.7223,2026-03-13T11:39:04.353206
bb5d1b66,Clase_99,0.7283,2026-03-13T11:39:06.422137
df11e8f1,Clase_99,0.7167,2026-03-13T11:39:07.198609
9e7f0565,Clase_99,0.7259,2026-03-13T11:39:08.439316
ddfad912,Clase_99,0.7249,2026-03-13T11:39:09.288138
40f9c237,Clase_99,0.7264,2026-03-13T11:39:10.206828
84135274,Clase_99,0.7264,2026-03-13T11:39:11.380291
f458a56c,Clase_99,0.7166,2026-03-13T11:39:15.443730
5f220d84,Clase_99,0.7248,2026-03-13T11:39:18.131776
2a8a2bf0,Clase_99,0.7234,2026-03-13T11:39:19.699461
e4c523c7,Clase_99,0.7275,2026-03-13T11:39:22.701975
92e51b9b,Clase_99,0.7244,2026-03-13T11:39:23.675545
accd0f55,Clase_99,0.7176,2026-03-13T11:39:24.429936
1dc49c41,Clase_99,0.7295,2026-03-13T11:39:26.778179
70484905,Clase_99,0.7296,2026-03-13T11:39:27.831855
4d048712,Clase_99,0.7255,2026-03-13T11:39:29.446073
7b96c4e2,Clase_99,0.7232,2026-03-13T11:39:31.586102
dc89ab81,Clase_99,0.7273,2026-03-13T11:39:32.045675
a2487e5b,Clase_99,0.7274,2026-03-13T11:39:34.792576
fc5198b6,Clase_99,0.7241,2026-03-13T11:39:35.733189
46e34b3c,Clase_99,0.7266,2026-03-13T11:39:37.738754
4b905e3c,Clase_99,0.722,2026-03-13T11:39:39.616823
c44fce58,Clase_99,0.7259,2026-03-13T11:39:42.067398
067cfc9f,Clase_99,0.725,2026-03-13T11:39:43.387099
d6695a80,Clase_99,0.7255,2026-03-13T11:39:44.425823
c9666025,Clase_99,0.7249,2026-03-13T11:39:45.745087
3ddf9749,Clase_99,0.7243,2026-03-13T11:39:48.680985
76b4a000,Clase_99,0.7261,2026-03-13T11:39:49.738748
99649e68,Clase_99,0.7232,2026-03-13T11:39:52.297769
d49b6792,Clase_99,0.7259,2026-03-13T11:39:53.041554
19f1fde2,Clase_99,0.7247,2026-03-13T11:40:00.237004
026771eb,Clase_99,0.7207,2026-03-13T11:40:02.539122
efdb7903,Clase_99,0.7226,2026-03-13T11:40:56.129939
100e0a80,Clase_99,0.7254,2026-03-13T11:40:56.536526
e8556441,Clase_99,0.7273,2026-03-13T11:40:56.897898
88742d83,Clase_99,0.7211,2026-03-13T11:40:57.277941
3674c73f,Clase_99,0.7288,2026-03-13T11:40:57.621770
06bbe19b,Clase_99,0.7268,2026-03-13T11:40:58.050910
bc1cc840,Clase_99,0.723,2026-03-13T11:40:58.642645
c2dae843,Clase_99,0.7255,2026-03-13T11:40:59.189820
bb9a2a77,Clase_99,0.723,2026-03-13T11:40:59.942127
618bfead,Clase_99,0.7214,2026-03-13T11:41:01.106576
338b71a4,Clase_99,0.7209,2026-03-13T11:41:02.561935
f9de7083,Clase_99,0.7234,2026-03-13T11:41:04.767906
59bcdd26,Clase_99,0.7253,2026-03-13T11:41:06.718874
96cf6f04,Clase_99,0.7269,2026-03-13T11:41:07.451205
bfe95ee5,Clase_99,0.725,2026-03-13T11:41:08.132499
eda35d5b,Clase_99,0.7248,2026-03-13T11:41:08.670189
